Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.017    0.000 sre_parse.py:686(parse)
     3422    0.002    0.000    0.017    0.000 _methods.py:37(_any)
      381    0.008    0.000    0.017    0.000 numeric.py:2297(within_tol)
        2    0.006    0.003    0.017    0.008 __init__.py:45(<module>)
        1    0.005    0.005    0.017    0.017 widgets.py:10(<module>)
        4    0.000    0.000    0.017    0.004 Go_trials.py:196(load_exp_data)
      205    0.010    0.000    0.017    0.000 doccer.py:128(indentcount_lines)
        4    0.001    0.000    0.017    0.004 npyio.py:1180(genfromtxt)
   223/76    0.001    0.000    0.017    0.000 sre_parse.py:310(_parse_sub)
   316/81    0.006    0.000    0.016    0.000 sre_parse.py:388(_parse)
      641    0.010    0.000    0.016    0.000 function_base.py:9(linspace)
      127    0.001    0.000    0.016    0.000 arrayprint.py:700(__init__)
        1    0.001    0.001    0.016    0.016 tokenize.py:23(<module>)
     8887    0.007    0.000    0.016    0.000 numeric.py:464(asanyarray)
     6161    0.015    0.000    0.015    0.000 {method 'expandtabs' of 'str' objects}
        1    0.009    0.009    0.015    0.015 _minimize.py:8(<module>)
       11    0.001    0.000    0.015    0.001 artist.py:1018(pprint_setters)
      127    0.002    0.000    0.015    0.000 arrayprint.py:465(_formatArray)
        1    0.010    0.010    0.015    0.015 __init__.py:15(<module>)
   609/76    0.004    0.000    0.014    0.000 sre_compile.py:32(_compile)
       28    0.000    0.000    0.013    0.000 {map}
        1    0.001    0.001    0.013    0.013 pyparsing.py:58(<module>)
     2800    0.005    0.000    0.012    0.000 numeric.py:2428(seterr)
        1    0.000    0.000    0.012    0.012 _discrete_distns.py:5(<module>)
      635    0.006    0.000    0.012    0.000 arrayprint.py:598(__call__)
        1    0.004    0.004    0.012    0.012 utils.py:4(<module>)
        4    0.000    0.000    0.012    0.003 _datasource.py:118(open)
       13    0.000    0.000    0.012    0.001 _distn_infrastructure.py:2573(__init__)
        1    0.004    0.004    0.012    0.012 csr.py:1(<module>)
        4    0.000    0.000    0.012    0.003 _datasource.py:461(open)
        1    0.005    0.005    0.012    0.012 urllib.py:23(<module>)
        1    0.005    0.005    0.011    0.011 dates.py:108(<module>)
        1    0.003    0.003    0.011    0.011 font_manager.py:21(<module>)
        4    0.000    0.000    0.010    0.003 _datasource.py:312(_findfile)
       11    0.003    0.000    0.010    0.001 artist.py:939(_get_setters_and_targets)
        1    0.003    0.003    0.010    0.010 pilutil.py:7(<module>)
      832    0.002    0.000    0.010    0.000 inspect.py:804(getargspec)
    77622    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     6167    0.009    0.000    0.009    0.000 {method 'splitlines' of 'str' objects}
        1    0.006    0.006    0.009    0.009 iterative.py:1(<module>)
        1    0.004    0.004    0.009    0.009 __init__.py:48(<module>)
     1400    0.002    0.000    0.009    0.000 numeric.py:2813(__enter__)
        1    0.003    0.003    0.009    0.009 numeric.py:1(<module>)
        1    0.008    0.008    0.009    0.009 pdb.py:3(<module>)
        1    0.007    0.007    0.008    0.008 __init__.py:119(<module>)
        1    0.004    0.004    0.008    0.008 index_tricks.py:1(<module>)
     1524    0.005    0.000    0.008    0.000 numerictypes.py:970(find_common_type)
        1    0.003    0.003    0.008    0.008 compressed.py:1(<module>)
      762    0.001    0.000    0.008    0.000 fromnumeric.py:1844(all)
        1    0.002    0.002    0.008    0.008 tempfile.py:18(<module>)
      228    0.001    0.000    0.008    0.000 sre_compile.py:178(_compile_charset)
        1    0.003    0.003    0.008    0.008 artist.py:1(<module>)
        4    0.002    0.000    0.008    0.002 _datasource.py:402(exists)
        1    0.006    0.006    0.007    0.007 __init__.py:88(<module>)
        1    0.002    0.002    0.007    0.007 ctypeslib.py:51(<module>)
        1    0.005    0.005    0.007    0.007 basic.py:7(<module>)
    19913    0.007    0.000    0.007    0.000 {isinstance}
        1    0.006    0.006    0.007    0.007 Tkinter.py:31(<module>)
      228    0.005    0.000    0.007    0.000 sre_compile.py:207(_optimize_charset)
       13    0.005    0.000    0.007    0.001 collections.py:288(namedtuple)
        1    0.005    0.005    0.007    0.007 __init__.py:65(<module>)
        1    0.003    0.003    0.006    0.006 rcsetup.py:15(<module>)
     1400    0.001    0.000    0.006    0.000 numeric.py:2818(__exit__)
        1    0.005    0.005    0.006    0.006 Image.py:27(<module>)
        1    0.002    0.002    0.006    0.006 __init__.py:8(<module>)
52143/51829    0.006    0.000    0.006    0.000 {len}
        1    0.001    0.001    0.006    0.006 misc.py:1(<module>)
        1    0.002    0.002    0.006    0.006 triangulation.py:1(<module>)
       16    0.000    0.000    0.006    0.000 pyparsing.py:1812(__init__)
        1    0.002    0.002    0.006    0.006 urllib2.py:76(<module>)
     3271    0.002    0.000    0.006    0.000 numeric.py:394(asarray)
        1    0.002    0.002    0.006    0.006 patches.py:3(<module>)
      775    0.001    0.000    0.006    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.005    0.005    0.005    0.005 __init__.py:4(<module>)
