Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 linesearch.py:13(<module>)
     1030    0.000    0.000    0.001    0.000 inspect.py:142(isfunction)
       17    0.000    0.000    0.001    0.000 abc.py:105(register)
      242    0.000    0.000    0.001    0.000 sre_compile.py:354(_simple)
     1731    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:76(<module>)
       34    0.000    0.000    0.001    0.000 pyparsing.py:2351(__init__)
       41    0.000    0.000    0.001    0.000 pyparsing.py:2234(__init__)
       74    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
    28/18    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
      8/4    0.000    0.000    0.001    0.000 pyparsing.py:2261(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 version.py:63(StrictVersion)
        1    0.000    0.000    0.001    0.001 artist.py:859(ArtistInspector)
       65    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
      456    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.001    0.001 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:90(MarkerStyle)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
      320    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 sputils.py:2(<module>)
       41    0.000    0.000    0.001    0.000 nosetester.py:181(__init__)
     1164    0.000    0.000    0.001    0.000 sre_parse.py:135(__len__)
      881    0.000    0.000    0.001    0.000 sre_parse.py:147(append)
     1005    0.001    0.000    0.001    0.000 _iotools.py:666(_loose_call)
       13    0.000    0.000    0.001    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
       50    0.000    0.000    0.000    0.000 colors.py:326(to_rgba)
      832    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 _multivariate.py:4(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3182(get_distribution_names)
      364    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      407    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      142    0.000    0.000    0.000    0.000 {all}
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
      130    0.000    0.000    0.000    0.000 pyparsing.py:807(__init__)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
       65    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1573(_pprint_table)
        7    0.000    0.000    0.000    0.000 pyparsing.py:848(setResultsName)
      142    0.000    0.000    0.000    0.000 colors.py:668(__init__)
        3    0.000    0.000    0.000    0.000 _version.py:114(_compare)
      127    0.000    0.000    0.000    0.000 arrayprint.py:716(__init__)
     1103    0.000    0.000    0.000    0.000 {iter}
       35    0.000    0.000    0.000    0.000 pyparsing.py:2607(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:305(_add_aliases)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
      682    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3223(oneOf)
       92    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
    61/58    0.000    0.000    0.000    0.000 pyparsing.py:109(_ustr)
        1    0.000    0.000    0.000    0.000 patches.py:1699(BoxStyle)
     1408    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
      485    0.000    0.000    0.000    0.000 urllib.py:1206(<genexpr>)
      180    0.000    0.000    0.000    0.000 numerictypes.py:736(issubdtype)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
       14    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
     1168    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      143    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
      314    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 path.py:965(_define_deprecated_functions)
        1    0.000    0.000    0.000    0.000 version.py:228(LooseVersion)
      150    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 dates.py:345(DateFormatter)
      127    0.000    0.000    0.000    0.000 arrayprint.py:689(__init__)
       73    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:3(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2385(ConnectionStyle)
      609    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      160    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       76    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1573(__init__)
        1    0.000    0.000    0.000    0.000 interface.py:1(<module>)
        8    0.000    0.000    0.000    0.000 decorator.py:47(__init__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:605(_ReducedHCT_Element)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
      407    0.000    0.000    0.000    0.000 artist.py:983(aliased_name)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2982(__init__)
      563    0.000    0.000    0.000    0.000 collections.py:332(<genexpr>)
       42    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
       13    0.000    0.000    0.000    0.000 path.py:195(_update_values)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1540(__init__)
      312    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
       71    0.000    0.000    0.000    0.000 _iotools.py:215(_delimited_splitter)
      204    0.000    0.000    0.000    0.000 _distn_infrastructure.py:699(<genexpr>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:1337(__or__)
   120/60    0.000    0.000    0.000    0.000 py3k.py:79(asbytes_nested)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
      491    0.000    0.000    0.000    0.000 {setattr}
        4    0.000    0.000    0.000    0.000 ssl.py:111(_import_symbols)
        1    0.000    0.000    0.000    0.000 tzwin.py:2(<module>)
        1    0.000    0.000    0.000    0.000 image.py:5(<module>)
      119    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        6    0.000    0.000    0.000    0.000 inspect.py:845(formatargspec)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
     1737    0.000    0.000    0.000    0.000 {chr}
        7    0.000    0.000    0.000    0.000 pyparsing.py:2471(__init__)
       65    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        4    0.000    0.000    0.000    0.000 re.py:144(sub)
      127    0.000    0.000    0.000    0.000 {_functools.reduce}
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
     1668    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       54    0.000    0.000    0.000    0.000 cbook.py:668(is_string_like)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       12    0.000    0.000    0.000    0.000 _datasource.py:257(_isurl)
      252    0.000    0.000    0.000    0.000 pyplot.py:2068(pad)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2324(setResultsName)
       76    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1846(parseImpl)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       27    0.000    0.000    0.000    0.000 core.py:829(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:964(_register_types)
     1199    0.000    0.000    0.000    0.000 {ord}
       11    0.000    0.000    0.000    0.000 {eval}
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:283(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
       41    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       19    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
      142    0.000    0.000    0.000    0.000 colors.py:491(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 mstats_basic.py:6(<module>)
        4    0.000    0.000    0.000    0.000 _datasource.py:343(abspath)
        1    0.000    0.000    0.000    0.000 triangulation.py:7(Triangulation)
        9    0.000    0.000    0.000    0.000 posixpath.py:365(abspath)
      202    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 figure.py:233(Figure)
       19    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
      152    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
       19    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
     1167    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7285(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:599(Axis)
       32    0.000    0.000    0.000    0.000 {posix.stat}
       16    0.000    0.000    0.000    0.000 urlparse.py:137(urlparse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1807(Regex)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 os.py:475(update)
      381    0.000    0.000    0.000    0.000 arrayprint.py:661(__init__)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mlab.py:1184(FIFOBuffer)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
       27    0.000    0.000    0.000    0.000 artist.py:29(allow_rasterization)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       75    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        2    0.000    0.000    0.000    0.000 __init__.py:113(compare_versions)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:294(__init__)
       64    0.000    0.000    0.000    0.000 os.py:472(__setitem__)
        4    0.000    0.000    0.000    0.000 _iotools.py:112(flatten_dtype)
        8    0.000    0.000    0.000    0.000 core.py:7290(getdoc)
      472    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        8    0.000    0.000    0.000    0.000 decorator.py:126(update)
        1    0.000    0.000    0.000    0.000 path.py:27(Path)
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
       67    0.000    0.000    0.000    0.000 collections.py:358(<genexpr>)
       81    0.000    0.000    0.000    0.000 cbook.py:659(iterable)
        7    0.000    0.000    0.000    0.000 __init__.py:483(_get_home)
       15    0.000    0.000    0.000    0.000 rcsetup.py:39(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:424(Misc)
      180    0.000    0.000    0.000    0.000 numerictypes.py:668(issubclass_)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:929(Arrow)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1859(__str__)
        1    0.000    0.000    0.000    0.000 core.py:2581(MaskedArray)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3378(<genexpr>)
     16/3    0.000    0.000    0.000    0.000 pyparsing.py:2292(streamline)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1038(__init__)
        1    0.000    0.000    0.000    0.000 ticker.py:1015(NullLocator)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       83    0.000    0.000    0.000    0.000 sre_parse.py:234(_class_escape)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3376(<lambda>)
        4    0.000    0.000    0.000    0.000 version.py:263(__init__)
        4    0.000    0.000    0.000    0.000 _datasource.py:203(__init__)
       97    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3120(delimitedList)
      198    0.000    0.000    0.000    0.000 utils.py:47(_set_function_name)
        4    0.000    0.000    0.000    0.000 version.py:268(parse)
      198    0.000    0.000    0.000    0.000 utils.py:64(__init__)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2251(prod)
        1    0.000    0.000    0.000    0.000 parser.py:292(__init__)
       18    0.000    0.000    0.000    0.000 core.py:908(__init__)
       33    0.000    0.000    0.000    0.000 posixpath.py:68(join)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       97    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 parser.py:200(__init__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:274(__new__)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
      198    0.000    0.000    0.000    0.000 _distn_infrastructure.py:663(<lambda>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
      279    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
     11/4    0.000    0.000    0.000    0.000 pyparsing.py:2647(streamline)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2809(__init__)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:133(NpzFile)
      544    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       64    0.000    0.000    0.000    0.000 {posix.putenv}
      143    0.000    0.000    0.000    0.000 inspect.py:51(ismodule)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       51    0.000    0.000    0.000    0.000 docstring.py:81(__call__)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:784(RcParams)
       52    0.000    0.000    0.000    0.000 __init__.py:814(__getitem__)
        6    0.000    0.000    0.000    0.000 re.py:139(search)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.000    0.000 tritools.py:3(<module>)
        8    0.000    0.000    0.000    0.000 _datasource.py:388(_sanitize_relative_path)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:90(Legend)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 mathtext.py:2050(Parser)
        1    0.000    0.000    0.000    0.000 patches.py:46(Patch)
        4    0.000    0.000    0.000    0.000 _methods.py:34(_prod)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       67    0.000    0.000    0.000    0.000 collections.py:356(<genexpr>)
       13    0.000    0.000    0.000    0.000 pyparsing.py:885(setParseAction)
        1    0.000    0.000    0.000    0.000 interpolate.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:776(wrapper)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
       10    0.000    0.000    0.000    0.000 getlimits.py:150(<lambda>)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        7    0.000    0.000    0.000    0.000 parser.py:215(_convert)
        1    0.000    0.000    0.000    0.000 geo.py:247(AitoffAxes)
       50    0.000    0.000    0.000    0.000 pyplot.py:2366(_autogen_docstring)
       16    0.000    0.000    0.000    0.000 urlparse.py:168(urlsplit)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:1784(__str__)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1749(parseImpl)
       75    0.000    0.000    0.000    0.000 {repr}
        2    0.000    0.000    0.000    0.000 index_tricks.py:647(__init__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      242    0.000    0.000    0.000    0.000 sre_parse.py:143(__setitem__)
        1    0.000    0.000    0.000    0.000 collections.py:29(Collection)
       18    0.000    0.000    0.000    0.000 sre_parse.py:225(isname)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:499(clear)
       11    0.000    0.000    0.000    0.000 genericpath.py:38(isdir)
        1    0.000    0.000    0.000    0.000 quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       65    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.000    0.000 polar.py:212(PolarAxes)
        1    0.000    0.000    0.000    0.000 relativedelta.py:6(<module>)
        1    0.000    0.000    0.000    0.000 units.py:44(<module>)
       45    0.000    0.000    0.000    0.000 docstring.py:42(update)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
       76    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:506(LambertAxes)
        2    0.000    0.000    0.000    0.000 __init__.py:541(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 lines.py:73(Line2D)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3353(<lambda>)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
       60    0.000    0.000    0.000    0.000 pyparsing.py:938(preParse)
        1    0.000    0.000    0.000    0.000 geo.py:326(HammerAxes)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
       98    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       28    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 special_matrices.py:1(<module>)
       73    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
      127    0.000    0.000    0.000    0.000 arrayprint.py:744(__init__)
      544    0.000    0.000    0.000    0.000 {globals}
      166    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 scale.py:518(get_scale_docs)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       82    0.000    0.000    0.000    0.000 pyparsing.py:2243(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:406(MollweideAxes)
      312    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 decimal.py:3784(__init__)
        1    0.000    0.000    0.000    0.000 os.py:506(copy)
        8    0.000    0.000    0.000    0.000 {sorted}
       12    0.000    0.000    0.000    0.000 pyparsing.py:486(__iadd__)
        1    0.000    0.000    0.000    0.000 text.py:1689(Annotation)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
       12    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        7    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        8    0.000    0.000    0.000    0.000 nonlin.py:222(_set_doc)
      153    0.000    0.000    0.000    0.000 {_sre.getlower}
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 axes.py:9342(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2725(__init__)
       67    0.000    0.000    0.000    0.000 core.py:5771(isMaskedArray)
        1    0.000    0.000    0.000    0.000 patches.py:2170(FancyBboxPatch)
       12    0.000    0.000    0.000    0.000 posixpath.py:104(splitext)
        4    0.000    0.000    0.000    0.000 {filter}
        1    0.000    0.000    0.000    0.000 cm.py:164(ScalarMappable)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3376(<genexpr>)
       76    0.000    0.000    0.000    0.000 {sys._getframe}
       64    0.000    0.000    0.000    0.000 {posix.unsetenv}
       51    0.000    0.000    0.000    0.000 inspect.py:838(strseq)
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
      194    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      197    0.000    0.000    0.000    0.000 __init__.py:793(<genexpr>)
       12    0.000    0.000    0.000    0.000 getlimits.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 rv.py:1(<module>)
        4    0.000    0.000    0.000    0.000 getlimits.py:147(<lambda>)
      109    0.000    0.000    0.000    0.000 rcsetup.py:44(func)
       45    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2095(__init__)
        8    0.000    0.000    0.000    0.000 {next}
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1543(setName)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1401(__call__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        5    0.000    0.000    0.000    0.000 iterative.py:70(combine)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3215(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 pyplot.py:1820(colormaps)
        6    0.000    0.000    0.000    0.000 core.py:1054(__init__)
       52    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 numerictypes.py:611(obj2sctype)
       17    0.000    0.000    0.000    0.000 pyparsing.py:840(setName)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
       43    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 __init__.py:528(_get_xdg_config_dir)
       60    0.000    0.000    0.000    0.000 _iotools.py:539(_dtypeortype)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:1187(rv_continuous)
        4    0.000    0.000    0.000    0.000 _iotools.py:189(__init__)
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
       14    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
      496    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 windowing.py:8(<module>)
        4    0.000    0.000    0.000    0.000 {_warnings.warn}
       14    0.000    0.000    0.000    0.000 cbook.py:48(_generate_deprecation_message)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
      147    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       28    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 transforms.py:1878(IdentityTransform)
        1    0.000    0.000    0.000    0.000 parser.py:700(_tzparser)
        1    0.000    0.000    0.000    0.000 geo.py:19(GeoAxes)
        1    0.000    0.000    0.000    0.000 sysconfig.py:50(_python_build)
        1    0.000    0.000    0.000    0.000 patches.py:3703(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      152    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      174    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _datasource.py:235(_splitzipext)
       66    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       76    0.000    0.000    0.000    0.000 docstring.py:93(do_copy)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 backend_agg.py:55(RendererAgg)
        1    0.000    0.000    0.000    0.000 patches.py:4035(ConnectionPatch)
        3    0.000    0.000    0.000    0.000 tempfile.py:48(_set_cloexec)
       18    0.000    0.000    0.000    0.000 random.py:273(choice)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 triplot.py:1(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       12    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
